fichier,titre_fr,titre_en,description,mots_cles
chaos_but_make_it_polite,Chaos mais avec politesse citation esthétique,Chaos But Make It Polite Vintage Aesthetic Quote,"Adoptez un style unique avec ce design typographique vintage. Ce motif est parfait sur un t-shirt, un sticker, ou un tote bag pour exprimer votre personnalité avec humour et élégance.","chaos, polite, aesthetic, vintage, typography, quote, sarcastic, humour, dictionary, minimalist, citation, humour noir, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, attitude, politesse"
existential_but_make_it_cute,Existentiel mais mignon citation esthétique,Existential But Make It Cute Aesthetic Quote,"Exprimez votre côté existentiel avec ce design mignon et rétro. Idéal pour personnaliser un t-shirt, un mug ou un poster avec une touche d'ironie douce.","existential, cute, aesthetic, vintage, typography, quote, philosophy, humour, dictionary, minimalist, citation, existentiel, mignon, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, attitude"
mentally_at_the_bakery,Mentalement à la boulangerie citation vintage,Mentally At The Bakery Vintage Aesthetic Quote,"Ce design est pour tous les gourmands qui rêvent de pâtisseries. Affichez votre gourmandise sur un t-shirt, un tote bag ou un sticker avec ce style typographique unique.","bakery, mentally, foodie, vintage, typography, quote, gourmand, humour, dictionary, minimalist, citation, boulangerie, gateau, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, faim"
plot_twist_i_was_right,Plot twist j'avais raison citation vintage,Plot Twist I Was Right Vintage Aesthetic Quote,"Affirmez votre confiance avec ce design ironique au look vintage. Ce visuel est parfait pour un t-shirt, un mug ou un poster qui attire l'attention.","plot twist, right, sarcastic, vintage, typography, quote, confident, humour, dictionary, minimalist, citation, j'avais raison, ironie, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, attitude"
emotionally_fluent_in_sarcasm,Couramment sarcastique citation esthétique,Emotionally Fluent In Sarcasm Aesthetic Quote,"Un design pour ceux qui parlent couramment le sarcasme. Ajoutez une touche d'esprit à vos accessoires comme un tote bag, un sticker ou un t-shirt quotidien.","sarcasm, fluent, emotionally, vintage, typography, quote, witty, humour, dictionary, minimalist, citation, sarcastique, ironie, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, attitude"
powered_by_spite_snacks,Alimenté par la rancune et les snacks,Powered By Spite And Snacks Vintage Quote,"Le mélange parfait de motivation et de gourmandise dans un design rétro. Idéal pour un t-shirt, un mug ou un tote bag pour accompagner votre quotidien.","spite, snacks, powered by, vintage, typography, quote, hungry, humour, dictionary, minimalist, citation, rancune, snack, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, energie"
running_on_one_brain_cell,Je tourne avec un neurone citation vintage,Running On One Brain Cell Vintage Aesthetic Quote,"Un design hilarant pour les jours sans énergie. Parfait pour personnaliser un t-shirt, un sticker, ou un mug avec une touche d'humour décalé.","brain cell, running, tired, vintage, typography, quote, lazy, humour, dictionary, minimalist, citation, neurone, fatigue, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, humour"
i_came_i_saw_i_overpacked,Venu vu et trop emporté citation voyage,I Came I Saw I Overpacked Vintage Travel Quote,"Pour tous les voyageurs qui ne savent pas voyager léger, voici le design idéal. Décorez votre tote bag, votre t-shirt ou votre poster avec ce classique revisité.","travel, overpacked, vacation, vintage, typography, quote, wanderlust, humour, dictionary, minimalist, citation, voyage, bagages, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, tourisme"
please_do_not_perceive_me,S'il vous plaît ne me percevez pas,Please Do Not Perceive Me Vintage Aesthetic Quote,"L'humeur parfaite pour les journées introverties. Ce design typographique est parfait sur un t-shirt, un mug ou un sticker pour exprimer votre besoin de calme.","perceive, introvert, mood, vintage, typography, quote, quiet, humour, dictionary, minimalist, citation, introverti, calme, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, solitude"
running_on_spite_and_cold_coffee,Alimenté par la rancune et café froid,Running On Spite And Cold Coffee Vintage Quote,"Le carburant officiel des journées chargées. Affichez ce design sur un t-shirt, un mug ou un tote bag pour montrer votre côté déterminé et caféiné.","coffee, spite, cold coffee, vintage, typography, quote, caffeine, humour, dictionary, minimalist, citation, café, cafeine, style, t-shirt, sticker, mug, tote bag, poster, funny, ironic, retro, art, graphique, design, travail"
let_me_overthink_this_and_get_back_to_you,Laissez-moi y réfléchir citation vintage drôle,Let Me Overthink This Funny Vintage Typography Quote,"Exprimez votre indécision avec humour grâce à ce design vintage. Que ce soit sur un t-shirt, un mug ou un sticker, cette citation est parfaite pour les esprits analytiques.","overthink, overthinking, funny quote, vintage aesthetic, typographic design, sarcastic, anxiety humor, indécision, humour, citation drôle, vintage style, introvert, mental health, thoughtful, t-shirt, sticker, mug, tote bag, poster, cadeau original, esprit analytique, overthinker, indecisive, funny shirt, vintage art"
i_hope_this_email_finds_you_before_i_do,J'espère que cet e-mail vous trouvera avant moi,I Hope This Email Finds You Before I Do Funny Office,Ajoutez une touche de sarcasme à votre bureau avec ce design de style vintage. Idéal sur un mug ou un t-shirt pour exprimer votre fatigue professionnelle.,"email, work humor, office life, sarcastic, funny quote, vintage typography, burnout, travail, humour bureau, citation travail, vintage aesthetic, professionnel, t-shirt, mug, sticker, tote bag, poster, corporate humor, relatable, funny office, travailleur, fatigue, ironie, bureau, cynisme"
delusional_but_cute,Délirante mais mignonne citation esthétique,Delusional But Cute Vintage Aesthetic Quote,Assumez votre côté rêveur avec ce design vintage plein de caractère. Ce visuel est parfait pour décorer vos accessoires comme un sticker ou un tote bag.,"delusional, cute, vintage aesthetic, funny quote, self love, y2k style, typographic, délirante, mignonne, citation, esthétique, vintage, humour, t-shirt, sticker, mug, tote bag, poster, confiance en soi, attitude, rêveuse, style rétro, drôle, mode, positif"
certified_organic_human_not_an_ai,Humain certifié bio pas une intelligence artificielle,Certified Organic Human Not An AI Vintage Design,Affirmez votre humanité face à l'ère numérique avec ce design vintage. Un message parfait pour un t-shirt ou un poster qui souligne votre authenticité.,"organic human, not an ai, anti ai, humanity, technology, vintage aesthetic, humor, humain, pas une ia, intelligence artificielle, authenticité, technologie, vintage, typographie, t-shirt, mug, sticker, tote bag, poster, futuriste, digital burnout, réel, naturel, philosophie, geek"
too_offline_for_the_internet_too_online_for_soci,Trop déconnecté pour internet trop connecté société,Too Offline For The Internet Too Online For Society,Capturez le paradoxe de la vie moderne avec ce design vintage. Ce message résonne parfaitement sur un t-shirt ou un mug pour les accros au numérique.,"offline, online, digital burnout, social media, vintage aesthetic, quote, internet, déconnecté, connecté, réseaux sociaux, burnout numérique, société, vintage, typography, t-shirt, mug, sticker, tote bag, poster, moderne, paradoxe, anxiété, vie moderne, humour, culture web"
re_wilding_my_attention_span,Je remets ma capacité d'attention au sauvage,Re-wilding My Attention Span Vintage Quote,Reconnectez-vous à la nature et à votre esprit avec ce design vintage. Idéal sur un tote bag ou un poster pour inspirer le changement.,"attention span, rewilding, digital detox, focus, vintage aesthetic, mental health, nature, capacité d'attention, détox numérique, concentration, vintage, nature, bien-être, mental, t-shirt, mug, sticker, tote bag, poster, slow living, conscience, esprit, paix, minimalisme"
my_attention_span_is_shorter_than_this_sentence,Mon attention est plus courte que cette phrase,Short Attention Span Funny Vintage Typographic,Un design honnête et drôle pour ceux qui ont la bougeotte mentale. Parfait sur un sticker ou un t-shirt pour partager votre humour.,"attention span, adhd humor, funny quote, vintage typography, short attention, distraction, capacité d'attention, humour, tda, distrait, citation drôle, vintage, typographie, t-shirt, mug, sticker, tote bag, poster, bougeotte, mental, honnête, relatable, blague, cerveau, rapide"
i_m_just_a_background_asset_in_your_simulation,Juste un personnage de fond dans la simulation,Just A Background Asset Simulation Vintage Design,"Plongez dans l'existentialisme avec ce design vintage ironique. Un style unique pour votre t-shirt, mug ou sticker préféré.","simulation, background asset, existential, gaming, vintage aesthetic, funny, irony, simulation, personnage, existentialisme, gaming, vintage, humour, ironie, t-shirt, mug, sticker, tote bag, poster, philosophie, geek, réalité, matrice, conceptuel"
emotionally_unavailable_digitally_overstimulated,Émotionnellement indisponible digitalement stimulé,Emotionally Unavailable Digitally Overstimulated,Exprimez votre surcharge mentale avec ce design vintage. Ce message est parfait pour un t-shirt ou un sticker si vous vous sentez trop sollicité.,"emotionally unavailable, overstimulated, digital burnout, vintage aesthetic, quote, mental health, indisponible, surchargé, burnout numérique, vintage, esthétique, mental, t-shirt, mug, sticker, tote bag, poster, sollicité, fatigue, émotion, moderne, vie digitale, anxiété, honnêteté"
please_do_not_algorithm_me,S'il vous plaît ne m'algorithmez pas,Please Do Not Algorithm Me Funny Vintage Quote,Rebellez-vous contre la technologie avec ce design vintage. Un message fort à porter sur un t-shirt ou à afficher sur un sticker.,"algorithm, anti tech, digital burnout, vintage aesthetic, funny quote, social media, algorithme, anti technologie, burnout, vintage, humour, t-shirt, mug, sticker, tote bag, poster, rebelle, techno, réseaux sociaux, web, humain, indépendant, culture, digital"
humain_certifi_sans_filtre_ni_mise_jour,Humain certifié sans filtre ni mise à jour,Certified Human No Filter No Update Vintage Typography,"Affichez votre authenticité avec ce design typographique unique. Idéal sur un t-shirt, un mug ou un sticker, ce message humoristique célèbre l'humanité face à l'ère numérique.","humain certifie, sans filtre, digital detox, anti technologie, vintage style, humour geek, typographie, citation drole, burnout numerique, human nature, rebellion, citation, t-shirt humoristique, autocollant, mug original, post ai, retro aesthetic, vie réelle, deconnexion, sarcasme, authentique, design minimaliste, art vintage, societe moderne, geek culture"
mon_attention_est_plus_courte_que_ce_t_shirt,Mon attention est plus courte que ce t-shirt,Short Attention Span Funny Vintage Typography,"Ce design plein d'esprit capture parfaitement la fatigue mentale moderne. Parfait pour un t-shirt ou un tote bag, il exprime votre personnalité avec une touche de sarcasme vintage.","attention courte, humour sarcastique, tda, burnout, fatigue mentale, vintage illustration, typographie retro, citation drole, stress, vie moderne, t-shirt humour, tote bag, sticker, design typographique, ironie, geek, digital fatigue, sarcasme, humain, concentration, distraction, style vintage, post ai, societe, citation"
fatigu_d_tre_un_point_de_donn_e,Fatigué d'être un point de donnée,Tired Of Being A Data Point Vintage Typography,"Exprimez votre ras-le-bol de la surveillance numérique avec ce design vintage. Ce message est parfait pour un poster, un t-shirt ou un sticker pour affirmer votre indépendance.","donnees personnelles, vie privee, data point, surveillance, digital detox, anti tech, vintage style, typographie, rebellion, humour geek, post ai, t-shirt, sticker, poster, mug, citation, sarcasme, societe numerique, liberte, technologie, fatigue, retro design, minimaliste, conscience, philosophie"
profil_non_optimis_pour_le_public,Profil non optimisé pour le public,Profile Not Optimized For Public Vintage Typography,Un clin d'œil ironique aux réseaux sociaux sur un design vintage. Ce t-shirt ou ce mug est le cadeau parfait pour ceux qui refusent de se conformer aux standards numériques.,"profil non optimise, reseaux sociaux, anti conformisme, humour, vintage, typographie, sarcasme, digital burnout, vie privee, t-shirt original, mug, sticker, design retro, post ai, geek, citation, authenticite, non conforme, societe, technologie, minimalisme, ironie, attitude, liberte, expression"
d_sabonn_de_la_r_alit,Désabonné de la réalité,Unsubscribed From Reality Vintage Typography,"Déconnectez-vous du chaos avec ce design typographique vintage. Idéal pour un t-shirt ou un poster, il incarne l'envie de fuir le monde numérique.","desabonne, realite, deconnexion, digital detox, fuite, vintage, typographie, humour noir, burnout, t-shirt, poster, sticker, mug, design retro, post ai, geek, sarcasme, societe, vie moderne, citation, minimalisme, attitude, philosophie, ironie, paix"
brain_status_404_empathy_not_found,Statut cerveau 404 empathie non trouvée,Brain Status 404 Empathy Not Found Vintage Typography,"A clever take on digital burnout and social exhaustion. This vintage-style typography looks great on a t-shirt, sticker, or mug for those days when you just can't.","brain status, 404 error, empathy not found, digital burnout, sarcasm, vintage typography, geek humour, introvert, tech humour, funny design, t-shirt, sticker, mug, retro aesthetic, post ai, mental health, social exhaustion, coding humor, minimalist, statement piece, geek culture, irony, relatable, funny quote, brain fog"
socially_functional_for_up_to_45_minutes,Socialement fonctionnel 45 minutes,Socially Functional 45 Minutes Vintage Typography,"Perfect for introverts who value their energy. This design is a stylish addition to any t-shirt, tote bag, or poster, celebrating selective social interactions.","socially functional, introvert life, social battery, funny introversion, vintage style, typography, sarcastic, relatable, t-shirt, tote bag, poster, sticker, mug, retro design, humour, post ai, social anxiety, minimalist, statement, energy saving, quirky, geek, funny quote, socially awkward, limited edition"
my_presence_is_a_limited_time_engagement,Ma présence est une offre à durée limitée,Limited Time Engagement Funny Vintage Typography,"Set your boundaries with humor. This vintage-inspired design is perfect for a t-shirt, mug, or sticker for anyone who loves their alone time.","limited time, introvert, boundaries, vintage typography, funny statement, social battery, sarcasm, retro aesthetic, t-shirt, sticker, mug, post ai, relatable, humour, minimalist, geek, social life, personality, quirky, design, quote, attitude, fashion, gift idea, introvert problems"
please_treat_me_like_a_rare_museum_artifact_do_n,Objet de musée rare ne pas toucher,Rare Museum Artifact Do Not Touch Vintage Typography,"A humorous way to ask for personal space. This elegant vintage design looks fantastic on a t-shirt, tote bag, or poster.","museum artifact, do not touch, personal space, introvert, vintage typography, funny quote, retro aesthetic, t-shirt, tote bag, poster, sticker, mug, social distancing, sarcasm, minimalist, statement, unique design, quirky, humour, post ai, geek, fashion, artistic, gift, personality"
i_m_not_ignoring_you_i_m_just_micro_dosing_isola,Micro-dosage d'isolement,Micro-dosing Isolation Funny Vintage Typography,"For those who need their space to recharge. This clever design is perfect for a t-shirt, mug, or sticker with a vintage vibe.","micro dosing, isolation, introvert, recharge, vintage typography, funny quote, sarcasm, retro style, t-shirt, mug, sticker, post ai, mental health, social battery, minimalist, statement, humour, geek, relatable, quirky, design, attitude, personality, lifestyle, alone time"
ghosting_society_for_spiritual_reasons,Ghosting de la société pour raisons spirituelles,Ghosting Society for Spiritual Reasons Introvert Design,"Adoptez une attitude détachée avec ce design humoristique parfait sur un t-shirt ou un mug. Idéal pour les introvertis, ce style vintage unique se décline aussi en stickers ou posters pour affirmer votre besoin de solitude.","introvert, introverti, ghosting, social anxiety, humour noir, spiritual, vintage aesthetic, sarcasm, introvert life, solitude, funny quote, anti social, citation drôle, humour, retro design, mystical, peace of mind, mental health, tired of people, inner peace, spirituel, calme, minimalist, typographie, humour cynique"
my_vibe_today_is_do_not_cross_the_yellow_line,Vibe du jour : ne pas franchir la ligne jaune,Do Not Cross The Yellow Line Vibe Introvert Tee,"Définissez vos limites avec humour grâce à ce design idéal pour personnaliser un t-shirt, un tote bag ou un sticker. Ce visuel vintage exprime parfaitement votre besoin d'espace personnel et votre humeur du moment.","do not cross, introvert life, social distancing, boundary setting, humour, vintage style, introverti, limites, espace personnel, sarcastic quote, yellow line, funny shirt, mood, humeur, citation, cynique, anti social, introversion, design rétro, sticker, tote bag, t-shirt, misanthrope, calme, personnel"
quietly_judging_loudly_over_it,Jugement silencieux et ras-le-bol assumé,Quietly Judging Loudly Over It Introvert Quote,"Exprimez votre lassitude avec élégance sur un t-shirt, un mug ou un poster. Ce design vintage est parfait pour ceux qui préfèrent observer en silence plutôt que de participer à la confusion ambiante.","quietly judging, introvert, sarcastic, humour, introverti, jugement, vintage, funny quote, cynisme, tired of people, introversion, sarcasme, citation drôle, anti social, mood, humeur, t-shirt, sticker, poster, mug, design rétro, typographie, personnalité, calme, observation"
sociable_uniquement_de_14h_14h05,Sociable uniquement de 14h à 14h05,Sociable Only From 2pm to 2:05pm Introvert Humour,Affichez votre limite sociale avec humour sur un t-shirt ou un sticker. Ce design au style vintage est idéal pour les personnes qui gèrent leur énergie avec parcimonie au quotidien.,"sociable, introverti, introvert, humour, humour noir, sarcasme, limite sociale, fatigue sociale, citation drôle, t-shirt, sticker, mug, vintage, retro, cynique, anti social, temps limité, énergie, introversion, design, typographie, ironie, quotidien, calme, solitude"
pr_sence_exceptionnelle_dur_e_limit_e,Présence exceptionnelle à durée limitée,Limited Time Presence Introvert Funny Quote,"Soyez honnête sur votre disponibilité avec ce design original disponible sur t-shirt, mug ou tote bag. Une touche d'humour vintage pour les introvertis qui valorisent leur temps libre.","présence, durée limitée, introverti, introvert, humour, sarcasme, citation, t-shirt, mug, tote bag, vintage, retro, humeur, anti social, solitude, fatigue sociale, disponibilité, cynique, ironie, funny, design, typographie, calme, temps, privé"
ne_pas_me_d_ranger_je_suis_en_pleine_introspecti,"Ne pas déranger, introspection inutile",Do Not Disturb In Deep Introspection Introvert,"Protégez votre bulle avec ce design humoristique parfait sur un poster, un sticker ou un t-shirt. Une déclaration vintage pour tous ceux qui préfèrent leur propre monde aux distractions extérieures.","introspection, ne pas déranger, introverti, introvert, humour, sarcasme, vintage, citation, t-shirt, poster, sticker, mug, anti social, solitude, calme, cynique, ironie, mental, humeur, design, typographie, rêverie, personnel, espace, bulle"
j_ai_puis_mon_quota_de_politesse_pour_le_trimest,Quota de politesse épuisé pour le trimestre,Politeness Quota Exhausted Introvert Tee,Exprimez votre besoin de tranquillité avec ce design sarcastique disponible sur t-shirt ou mug. Un style vintage idéal pour les introvertis qui ont besoin d'une pause bien méritée.,"politesse, quota, introverti, introvert, humour, sarcasme, fatigue sociale, vintage, t-shirt, mug, sticker, citation, cynique, anti social, calme, solitude, humeur, ironie, design, typographie, pause, trimestre, social, personnalité, honnêteté"
je_ne_vous_ignore_pas_je_me_pr_serve,"Je ne vous ignore pas, je me préserve",I Am Not Ignoring You I Am Preserving Myself,"Affirmez votre santé mentale avec ce design élégant et vintage. Disponible sur t-shirt, poster ou tote bag, c'est le message parfait pour ceux qui apprennent à se protéger du bruit du monde.","santé mentale, introverti, introvert, se préserver, humour, bien être, vintage, citation, t-shirt, tote bag, poster, sticker, calme, solitude, sarcasme, cynique, humeur, ironie, design, typographie, respect, limites, équilibre, méditation, conscience"
highly_sensitive_low_capacity,"Hautement sensible, faible capacité",Highly Sensitive Low Capacity Introvert Design,"Ce design minimaliste et vintage est parfait pour les personnes hautement sensibles. Portez-le fièrement sur un t-shirt, un mug ou un tote bag pour exprimer vos besoins en toute simplicité.","highly sensitive, introvert, low capacity, hsp, introverti, hypersensible, humour, minimalist, vintage, t-shirt, mug, tote bag, sticker, sarcasme, mental health, santé mentale, calme, solitude, humeur, cynique, design, typographie, sensibilité, fatigue, quotidien"
i_love_conversations_that_never_happen,J'aime les conversations qui n'ont jamais lieu,I Love Conversations That Never Happen Introvert,"Célébrez votre monde intérieur avec ce design vintage unique. Idéal sur un poster, un t-shirt ou un sticker, ce visuel capture parfaitement l'essence de l'introversion créative.","conversations, introvert, introverti, imagination, humour, vintage, retro, t-shirt, poster, sticker, mug, calme, solitude, cynique, sarcasme, humeur, pensées, rêverie, design, typographie, personnalité, mental, esprit, philosophie, ironie"
doom_strolling,Doom-strolling Définition Style Dictionnaire Vintage,Doom-strolling Dictionary Definition Vintage Typography,"Exprimez votre fatigue numérique avec ce design typographique inspiré des dictionnaires classiques. Ce visuel vintage est parfait sur un t-shirt, un sticker ou un mug pour illustrer votre quotidien avec humour.","doomscrolling, internet culture, anxiety, vintage illustration, dictionary definition, humour noir, ironie, définition, typographie, geek, digital fatigue, social media, t-shirt humoristique, sticker, mug design, style rétro, minimaliste, mental health, life update, cynique, moderne, idée cadeau, ironic, stress, satire"
pre_tired,Pre-tired Définition Style Dictionnaire Vintage,Pre-tired Dictionary Definition Vintage Typography,"Fatigué avant même de commencer votre journée ? Affichez votre état d'esprit avec ce design élégant disponible sur un t-shirt, une affiche ou un tote bag pour un look vintage décalé.","pre-tired, fatigue, épuisement, vintage style, dictionary, définition, humour, fatigué, t-shirt, poster, tote bag, minimalist, typography, ironic, mood, vie quotidienne, drôle, style ancien, illustration, exhaustion, burnout, funny, concept, word art, design unique"
chronofatigue,Chronofatigue Définition Style Dictionnaire Vintage,Chronofatigue Dictionary Definition Vintage Typography,"La chronofatigue expliquée avec style. Ce design typographique unique apporte une touche intellectuelle et vintage à vos accessoires, du mug au sticker en passant par le t-shirt.","chronofatigue, fatigue, temps, fatigue chronique, définition, dictionnaire, vintage, typographie, t-shirt, mug, sticker, poster, style rétro, illustration, philosophie, humour, intellectuel, minimalisme, vie moderne, épuisement, concept, art, graphique, design, cadeau original"
socio_phobia,Socio-phobia Définition Style Dictionnaire Vintage,Socio-phobia Dictionary Definition Vintage Typography,Pour les introvertis et les amoureux du style vintage. Portez cette définition sur un t-shirt ou affichez-la sur un poster pour exprimer votre amour du calme avec une touche d'ironie.,"sociophobia, introvert, phobie sociale, introversion, vintage, dictionary, définition, typographie, humour, t-shirt, poster, sticker, mug, minimaliste, style rétro, anxiété, social anxiety, shy, timide, design, graphique, concept, ironique, mood, lifestyle"
micro_panic,Micro-panic Définition Style Dictionnaire Vintage,Micro-panic Dictionary Definition Vintage Typography,"Le sentiment de micro-panique quotidienne capturé dans un design typographique classique. Un choix parfait pour un mug, un sticker ou un t-shirt pour ceux qui aiment l'humour subtil.","micro-panic, panique, anxiété, stress, définition, dictionnaire, vintage, typographie, humour, t-shirt, mug, sticker, poster, style rétro, illustration, minimaliste, vie quotidienne, drôle, mental health, concept, ironique, graphique, design, cadeau, mood"
retro_regret,Retro-regret Définition Style Dictionnaire Vintage,Retro-regret Dictionary Definition Vintage Typography,"Le regret vintage avec une touche moderne. Ce design typographique est idéal sur un tote bag, un t-shirt ou un sticker pour ajouter une note mélancolique et élégante à votre style.","retro-regret, regret, nostalgie, vintage, définition, dictionnaire, typographie, tote bag, t-shirt, sticker, poster, style ancien, minimaliste, humour, mélancolie, design, graphique, concept, art, vie, passé, ironique, mood, cadeau, unique"
optimistic_nihilism,Nihilisme Optimiste Définition Style Vintage,Optimistic Nihilism Dictionary Vintage Typography,"L'équilibre parfait entre philosophie et design vintage. Ce visuel typographique est idéal pour un t-shirt, une affiche ou un mug, parfait pour les esprits curieux et minimalistes.","optimistic nihilism, nihilisme, philosophie, nihilisme optimiste, définition, dictionnaire, vintage, typographie, t-shirt, poster, mug, minimaliste, style rétro, concept, intellectuel, humour, design, graphique, art, vie, sens, pensée, moderne, cadeau, unique"
decaf_energy,Decaf-Energy Définition Style Dictionnaire Vintage,Decaf-Energy Dictionary Definition Vintage Typography,"Pour ceux qui fonctionnent au ralenti avec style. Ce design typographique vintage est parfait sur un mug à café, un t-shirt ou un sticker pour affirmer votre énergie déca.","decaf-energy, cafeine, decaf, café, définition, dictionnaire, vintage, typographie, t-shirt, mug, sticker, poster, humour, drôle, minimaliste, style rétro, énergie, fatigue, vie quotidienne, design, graphique, concept, ironique, cadeau, matin"
